,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,cluster
House_680,0.145,0.036,0.045,0.038,0.044,0.038,0.042,0.037,0.039,0.036,0.06,0.035,0.038,0.091,0.037,0.044,0.066,0.067,0.171,1.55,0.584,0.038,0.035,0.072,0.45,0.538,0.455,0.612,1.008,1.016,0.981,0.241,0.253,1.026,1.716,1.391,1.1440001,1.117,1.025,0.704,1.1109999,0.546,1.169,1.045,1.6569999,0.378,0.738,0.81,1
House_681,0.056,0.227,0.224,0.221,0.213,0.26,0.247,0.214,0.216,0.196,0.059,0.318,0.294,0.042,1.026,0.781,0.519,0.357,0.425,0.415,0.472,0.613,0.529,0.517,0.034,0.014,0.036,0.014,0.036,0.015,0.028,0.689,0.678,0.559,0.693,0.617,0.521,0.911,1.182,1.1900001,1.1849999,1.205,1.613,0.558,0.474,0.065,0.249,0.252,1
House_687,2.0780001,0.447,0.426,0.479,0.439,0.49,0.519,0.461,0.471,0.465,0.03,0.437,0.476,0.306,0.476,0.49,0.504,1.0880001,0.921,0.872,0.688,0.217,0.149,0.143,0.138,0.199,0.145,0.145,0.117,0.063,0.058,1.0140001,1.454,1.724,1.6059999,1.2359999,1.966,1.387,1.206,1.395,1.413,1.363,1.336,1.216,1.199,0.088,0.681,0.232,1
House_697,0.112,0.19,0.58,0.689,0.625,0.656,0.628,0.204,0.314,0.18,0.107,0.66,1.101,0.185,0.635,0.581,0.702,1.0140001,1.0779999,0.86,1.025,0.697,1.781,1.796,0.035,0.031,0.038,0.029,0.062,0.063,0.073,0.305,1.057,1.837,1.204,0.799,0.927,0.375,0.806,0.259,0.255,0.391,0.245,0.782,0.834,0.063,1.311,0.497,1
House_741,0.014,0.299,0.296,0.297,0.292,0.304,0.299,0.427,0.631,0.44,0.095,0.475,0.448,0.036,0.929,1.043,0.78,0.964,1.308,1.036,0.901,0.914,0.837,0.876,0.33,0.293,0.356,0.224,0.316,0.35,0.23,1.261,1.233,1.798,1.324,1.1289999,1.067,1.5190001,1.4859999,1.4960001,1.062,1.534,0.985,0.854,1.054,0.274,0.354,0.299,1
House_768,0.034,0.701,0.723,0.719,0.661,0.647,0.741,0.681,0.052,0.681,0.178,0.694,0.689,0.02,0.704,0.726,0.689,0.681,0.706,0.741,0.651,0.657,0.844,0.786,0.032,0.153,0.066,0.033,0.015,0.024,0.051,0.87,0.882,0.803,0.889,1.168,1.119,0.743,0.787,0.786,0.723,0.759,0.787,0.792,0.757,0.116,0.765,0.792,1
House_793,0.013,0.934,1.253,1.182,0.127,0.105,0.143,0.107,0.08,0.14,0.033,0.105,0.114,0.039,0.22,0.145,0.16,0.592,1.107,1.216,1.105,1.322,1.221,0.912,0.069,0.101,0.131,0.104,0.096,0.076,0.114,1.096,0.953,0.254,0.205,0.916,1.122,1.097,1.149,1.087,1.036,1.046,1.191,1.095,1.2029999,0.05,1.171,1.188,1
House_824,0.04,0.121,0.121,0.102,0.168,0.165,0.185,0.546,0.088,0.183,0.08,0.119,0.146,0.046,0.859,0.792,0.629,0.486,0.483,0.473,0.464,0.469,0.184,0.17,0.045,0.048,0.032,0.042,0.047,0.038,0.04,1.2539999,1.38,0.752,0.327,0.373,0.366,0.483,0.877,0.876,0.987,0.772,0.699,0.697,1.1799999,0.037,1.9,1.888,1
House_827,0.069,0.379,0.343,0.392,0.35,0.521,0.4,0.371,0.119,0.371,0.034,0.897,1.092,0.059,0.851,1.044,1.4119999,1.5829999,1.5599999,0.928,0.913,0.857,0.863,0.836,0.009,0.008,0.032,0.043,0.009,0.009,0.008,1.0190001,0.989,0.986,1.223,1.449,1.483,1.725,1.763,1.625,1.349,0.778,0.519,0.418,0.312,0.168,0.126,0.164,1
House_868,0.059,0.414,0.39,0.35,0.345,0.376,0.383,0.367,0.022,0.363,0.03,0.458,0.925,0.021,0.835,0.781,0.818,0.818,0.729,0.89,0.731,0.655,0.53,0.806,0.8,0.678,0.121,0.051,0.023,0.023,0.028,0.854,0.869,1.2460001,1.253,1.332,1.391,2.0439999,1.734,2.382,1.0549999,0.814,0.674,0.634,0.724,0.149,0.648,0.814,1
House_893,0.032,0.262,0.262,0.37,0.302,0.232,0.307,0.289,0.072,0.322,0.047,0.287,0.247,0.053,0.331,0.365,0.527,1.2410001,0.391,0.415,0.409,0.386,0.266,0.381,0.137,0.109,0.13,0.125,0.129,0.108,0.148,0.665,0.747,0.978,0.818,0.826,0.832,0.922,1.026,1.066,0.986,0.947,1.022,0.962,1.3430001,0.437,1.4069999,0.236,1
House_915,0.085,0.395,0.384,0.338,0.465,0.282,0.528,0.336,0.052,0.364,0.051,0.37,0.324,0.023,0.68,0.814,0.725,0.776,0.83,0.764,0.815,0.965,0.935,0.639,0.479,0.341,0.324,0.381,0.156,0.146,0.267,0.446,0.392,0.7,0.526,0.55,0.943,1.312,1.501,1.001,1.118,1.031,0.865,0.603,0.479,0.222,0.589,0.324,1
House_926,0.015,0.958,0.666,1.158,0.604,0.938,0.63,1.063,0.069,0.882,0.0,0.879,0.91,0.0,0.885,0.879,0.731,0.881,0.808,0.807,0.863,0.888,0.566,1.08,1.127,1.308,1.561,0.815,0.582,0.594,0.528,0.975,0.99,0.681,0.978,0.874,1.408,1.41,1.39,0.919,1.034,0.962,1.095,0.772,1.041,0.383,0.951,0.831,1
House_927,0.777,0.291,0.289,0.337,0.326,0.333,0.403,0.36,0.01,0.583,0.0,0.58,0.636,0.0,0.677,1.425,0.873,0.577,0.53,0.527,0.513,0.505,0.413,0.597,0.117,0.253,0.284,0.194,0.259,0.271,0.184,0.5,0.504,0.776,0.853,0.908,1.016,1.131,1.089,1.237,1.544,0.999,0.894,0.726,0.573,0.107,0.466,0.38,1
